URL,Product_id,BrandName,Category,Individual_category,category_by_Gender,DiscountPrice (in Rs),OriginalPrice (in Rs),DiscountOffer,DiscountOffercleaned,SizeOption,Ratings,Reviews,standard discount,,                            Myntra Sales Analysis,,,,,
https://www.myntra.com/jeans/roadster/roadster-men-navy-blue-slim-fit-mid-rise-clean-look-jeans/2296012/buy,2296012,Roadster,Bottom Wear,jeans,Men,824,1499,45,4500.0%,"28, 30, 32, 34, 36",3.9,999,,,,,,,,
https://www.myntra.com/track-pants/locomotive/locomotive-men-black--white-solid-slim-fit-track-pants/13780156/buy,13780156,LOCOMOTIVE,Bottom Wear,track-pants,Men,517,1149,55,5500.0%,"S, M, L, XL",4,999,,,                            Data Cleaning and Preparation,,,,,
https://www.myntra.com/shirts/roadster/roadster-men-navy-white--black-geometric-printed-sustainable-casual-shirt/11895958/buy,11895958,Roadster,Topwear,shirts,Men,629,1399,55,5500.0%,"38, 40, 42, 44, 46, 48",4.3,999,,,,,,,,
https://www.myntra.com/shapewear/zivame/zivame-women-black-saree-shapewear-zi3023core0nude/4335679/buy,4335679,Zivame,Lingerie & Sleep Wear,shapewear,Women,893,1295,31,3100.0%,"S, M, L, XL, XXL",4.2,999,,,1.Check for duplicate values in your dataset and remove them.,,,,,
https://www.myntra.com/tshirts/roadster/roadster-women-white-solid-v-neck-pure-cotton-t-shirt/11690882/buy,11690882,Roadster,Western,tshirts,Women,,599,35,3500.0%,"XS, S, M, L, XL",4.2,999,,,This data contains valid duplicacy values ,,,,,
https://www.myntra.com/tops/mast--harbour/mast--harbour-women-yellow-solid-tank-top/2490950/buy,2490950,Mast & Harbour,Western,tops,Women,,599,40,4000.0%,"XS, S, M, L, XL",4.4,999,,,,,,,,
https://www.myntra.com/trousers/highlander/highlander-men-olive-green-slim-fit-solid-regular-trousers/6744434/buy,6744434,HIGHLANDER,Bottom Wear,trousers,Men,599,1499,60,6000.0%,"30, 32, 34, 36",3.9,998,,,"2.Standardize the ""DiscountOffer"" column to a single format, ensuring all values 
are uniform. ",,,,,
https://www.myntra.com/tops/mayra/mayra-pink-embroidered-a-line-pure-cotton-top/8439415/buy,8439415,Mayra,Western,tops,Women,,1395,58,5800.0%,"S, M, L, XL",3.7,998,,,,,,,,
https://www.myntra.com/tshirts/roadster/roadster-women-pack-of-2-solid-t-shirts/17381394/buy,17381394,Roadster,Western,tshirts,Women,,1098,,,"XS, S, M, L, XL",4.3,997,,,,,,,,
https://www.myntra.com/jeans/herenow/herenow-men-blue-slim-fit-mid-rise-clean-look-ankle-length-stretchable-jeans/2359257/buy,2359257,HERE&NOW,Bottom Wear,jeans,Men,,2749,,,"28, 30, 32, 34, 36",3.5,996,,,"3. Identify rows where both ""DiscountPrice"" and ""DiscountOffer"" are null and fill 
the ""DiscountPrice"" with the average discount price    of the respective 
category. ",,,,,
https://www.myntra.com/tights/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-rapid-dry-training-tights/7695793/buy,7695793,HRX by Hrithik Roshan,Sports Wear,tights,Men,1214,2699,55,5500.0%,"S, M, L, XL, XXL",4.4,996,,,,,,,,
https://www.myntra.com/tshirts/roadster/roadster-men-navy-blue--white-striped-polo-collar-pure-cotton-t-shirt/10307375/buy,10307375,Roadster,Topwear,tshirts,Men,,699,,,"XS, S, M, L, XL, XXL, 3XL, 4XL",4.1,996,,,,,,,,
